Article,Article Info
algorithmic inference,"algorithmic inference gathers new developments in the statistical inference methods made feasible by the powerful computing devices widely available to any data analyst. cornerstones in this field are computational learning theory, granular computing, bioinformatics, and, long ago, structural probability fraser 1966. the main focus is on the algorithms which compute statistics rooting the study of a random phenomenon, along with the amount of data they must feed on to produce reliable results. this shifts the interest of mathematicians from the study of the distribution laws to the functional properties of the statistics, and the interest of computer scientists from the algorithms for processing data to the information they process."
anomaly detection,"in data analysis, anomaly detection also referred to as outlier detection and sometimes as novelty detection is generally understood to be the identification of rare items, events or observations which deviate significantly from the majority of the data and do not conform to a well defined notion of normal behavior. such examples may arouse suspicions of being generated by a different mechanism, or appear inconsistent with the remainder of that set of data. anomaly detection finds application in many domains including cybersecurity, medicine, machine vision, statistics, neuroscience, law enforcement and financial fraud to name only a few. anomalies were initially searched for clear rejection or omission from the data to aid statistical analysis, for example to compute the mean or standard deviation. they were also removed to better predictions from models such as linear regression, and more recently their removal aids the performance of machine learning algorithms. however, in many applications anomalies themselves are of interest and are the observations most desirous in the entire data set, which need to be identified and separated from noise or irrelevant outliers. three broad categories of anomaly detection techniques exist. supervised anomaly detection techniques require a data set that has been labeled as ""normal"" and ""abnormal"" and involves training a classifier. however, this approach is rarely used in anomaly detection due to the general unavailability of labelled data and the inherent unbalanced nature of the classes. semi-supervised anomaly detection techniques assume that some portion of the data is labelled. this may be any combination of the normal or anomalous data, but more often than not, the techniques construct a model representing normal behavior from a given normal training data set, and then test the likelihood of a test instance to be generated by the model. unsupervised anomaly detection techniques assume the data is unlabelled and are by far the most commonly used due to their wider and relevant application."
aporia company,"aporia is a machine learning observability platform based in tel aviv, israel. the company has a us office located in san jose, california. aporia has developed software for monitoring and controlling undetected defects and failures used by other companies to detect and report anomalies, and warn in the early stages of faults."
apprenticeship learning,"in artificial intelligence, apprenticeship learning or learning from demonstration or imitation learning is the process of learning by observing an expert. it can be viewed as a form of supervised learning, where the training dataset consists of task executions by a demonstration teacher."
artificial intelligence in hiring,"artificial intelligence can be used to automate aspects of the job recruitment process. advances in artificial intelligence, such as the advent of machine learning and the growth of big data, enable ai to be utilized to recruit, screen, and predict the success of applicants. proponents of artificial intelligence in hiring claim it reduces bias, assists with finding qualified candidates, and frees up human resource workers' time for other tasks, while opponents worry that ai perpetuates inequalities in the workplace and will eliminate jobs. despite the potential benefits, the ethical implications of ai in hiring remain a subject of debate, with concerns about algorithmic transparency, accountability, and the need for ongoing oversight to ensure fair and unbiased decision-making throughout the recruitment process."
astrostatistics,"astrostatistics is a discipline which spans astrophysics, statistical analysis and data mining. it is used to process the vast amount of data produced by automated scanning of the cosmos, to characterize complex datasets, and to link astronomical data to astrophysical theory. many branches of statistics are involved in astronomical analysis including nonparametrics, multivariate regression and multivariate classification, time series analysis, and especially bayesian inference. the field is closely related to astroinformatics. references"
attention machine learning,"attention is a machine learning method that determines the relative importance of each component in a sequence relative to the other components in that sequence. in natural language processing, importance is represented by ""soft"" weights assigned to each word in a sentence. more generally, attention encodes vectors called token embeddings across a fixed-width sequence that can range from tens to millions of tokens in size. unlike ""hard"" weights, which are computed during the backwards training pass, ""soft"" weights exist only in the forward pass and therefore change with every step of the input. earlier designs implemented the attention mechanism in a serial recurrent neural network rnn language translation system, but a more recent design, namely the transformer, removed the slower sequential rnn and relied more heavily on the faster parallel attention scheme. inspired by ideas about attention in humans, the attention mechanism was developed to address the weaknesses of leveraging information from the hidden layers of recurrent neural networks. recurrent neural networks favor more recent information contained in words at the end of a sentence, while information earlier in the sentence tends to be attenuated. attention allows a token equal access to any part of a sentence directly, rather than only through the previous state."
audio inpainting,"audio inpainting also known as audio interpolation is an audio restoration task which deals with the reconstruction of missing or corrupted portions of a digital audio signal. inpainting techniques are employed when parts of the audio have been lost due to various factors such as transmission errors, data corruption or errors during recording. the goal of audio inpainting is to fill in the gaps i.e., the missing portions in the audio signal seamlessly, making the reconstructed portions indistinguishable from the original content and avoiding the introduction of audible distortions or alterations. many techniques have been proposed to solve the audio inpainting problem and this is usually achieved by analyzing the temporal and spectral information surrounding each missing portion of the considered audio signal. classic methods employ statistical models or digital signal processing algorithms to predict and synthesize the missing or damaged sections. recent solutions, instead, take advantage of deep learning models, thanks to the growing trend of exploiting data-driven methods in the context of audio restoration. depending on the extent of the lost information, the inpainting task can be divided in three categories. short inpainting refers to the reconstruction of few milliseconds approximately less than 10 of missing signal, that occurs in the case of short distortions such as clicks or clipping. in this case, the goal of the reconstruction is to recover the lost information exactly. in long inpainting instead, with gaps in the order of hundreds of milliseconds or even seconds, this goal becomes unrealistic, since restoration techniques cannot rely on local information. therefore, besides providing a coherent reconstruction, the algorithms need to generate new information that has to be semantically compatible with the surrounding context i.e., the audio signal surrounding the gaps. the case of medium duration gaps lays between short and long inpainting. it refers to the reconstruction of tens of millisecond of missing data, a scale where the non-stationary characteristic of audio already becomes important."
automated decision-making,"automated decision-making adm involves the use of data, machines and algorithms to make decisions in a range of contexts, including public administration, business, health, education, law, employment, transport, media and entertainment, with varying degrees of human oversight or intervention. adm involves large-scale data from a range of sources, such as databases, text, social media, sensors, images or speech, that is processed using various technologies including computer software, algorithms, machine learning, natural language processing, artificial intelligence, augmented intelligence and robotics. the increasing use of automated decision-making systems adms across a range of contexts presents many benefits and challenges to human society requiring consideration of the technical, legal, ethical, societal, educational, economic and health consequences."
automation in construction,"automation in construction is the combination of methods, processes, and systems that allow for greater machine autonomy in construction activities. construction automation may have multiple goals, including but not limited to, reducing jobsite injuries, decreasing activity completion times, and assisting with quality control and quality assurance. some systems may be fielded as a direct response to increasing skilled labor shortages in some countries. opponents claim that increased automation may lead to less construction jobs and that software leaves heavy equipment vulnerable to hackers. research insights on this subject are today published in several jurnals such as automation in construction by elsevier."
bag-of-words model,"the bag-of-words model bow is a model of text which uses an unordered collection a ""bag"" of words. it is used in natural language processing and information retrieval ir. it disregards word order and thus most of syntax or grammar but captures multiplicity. the bag-of-words model is commonly used in methods of document classification where, for example, the frequency of occurrence of each word is used as a feature for training a classifier. it has also been used for computer vision. an early reference to ""bag of words"" in a linguistic context can be found in zellig harris's 1954 article on distributional structure."
ball tree,"in computer science, a ball tree, balltree or metric tree, is a space partitioning data structure for organizing points in a multi-dimensional space. a ball tree partitions data points into a nested set of balls. the resulting data structure has characteristics that make it useful for a number of applications, most notably nearest neighbor search."
base rate,"in probability and statistics, the base rate also known as prior probabilities is the class of probabilities unconditional on ""featural evidence"" likelihoods. it is the proportion of individuals in a population who have a certain characteristic or trait. for example, if 1 of the population were medical professionals, and remaining 99 were not medical professionals, then the base rate of medical professionals is 1. the method for integrating base rates and featural evidence is given by bayes' rule. in the sciences, including medicine, the base rate is critical for comparison. in medicine a treatment's effectiveness is clear when the base rate is available. for example, if the control group, using no treatment at all, had their own base rate of 120 recoveries within 1 day and a treatment had a 1100 base rate of recovery within 1 day, we see that the treatment actively decreases the recovery. the base rate is an important concept in statistical inference, particularly in bayesian statistics. in bayesian analysis, the base rate is combined with the observed data to update our belief about the probability of the characteristic or trait of interest. the updated probability is known as the posterior probability and is denoted as pab, where b represents the observed data. for example, suppose we are interested in estimating the prevalence of a disease in a population. the base rate would be the proportion of individuals in the population who have the disease. if we observe a positive test result for a particular individual, we can use bayesian analysis to update our belief about the probability that the individual has the disease. the updated probability would be a combination of the base rate and the likelihood of the test result given the disease status. the base rate is also important in decision-making, particularly in situations where the cost of false positives and false negatives are different. for example, in medical testing, a false negative failing to diagnose a disease could be much more costly than a false positive incorrectly diagnosing a disease. in such cases, the base rate can help inform decisions about the appropriate threshold for a positive test result."
bayesian interpretation of kernel regularization,"within bayesian statistics for machine learning, kernel methods arise from the assumption of an inner product space or similarity structure on inputs. for some such methods, such as support vector machines svms, the original formulation and its regularization were not bayesian in nature. it is helpful to understand them from a bayesian perspective. because the kernels are not necessarily positive semidefinite, the underlying structure may not be inner product spaces, but instead more general reproducing kernel hilbert spaces. in bayesian probability kernel methods are a key component of gaussian processes, where the kernel function is known as the covariance function. kernel methods have traditionally been used in supervised learning problems where the input space is usually a space of vectors while the output space is a space of scalars. more recently these methods have been extended to problems that deal with multiple outputs such as in multi-task learning. a mathematical equivalence between the regularization and the bayesian point of view is easily proved in cases where the reproducing kernel hilbert space is finite-dimensional. the infinite-dimensional case raises subtle mathematical issues we will consider here the finite-dimensional case. we start with a brief review of the main ideas underlying kernel methods for scalar learning, and briefly introduce the concepts of regularization and gaussian processes. we then show how both points of view arrive at essentially equivalent estimators, and show the connection that ties them together."
bayesian optimization,"bayesian optimization is a sequential design strategy for global optimization of black-box functions, that does not assume any functional forms. it is usually employed to optimize expensive-to-evaluate functions. with the rise of artificial intelligence innovation in the 21st century, bayesian optimizations have found prominent use in machine learning problems for optimizing hyperparameter values."
bayesian regret,"in stochastic game theory, bayesian regret is the expected difference ""regret"" between the utility of a bayesian strategy and that of the optimal strategy the one with the highest expected payoff. the term bayesian refers to thomas bayes 17021761, who proved a special case of what is now called bayes' theorem, who provided the first mathematical treatment of a non-trivial problem of statistical data analysis using what is now known as bayesian inference."
bayesian structural time series,"bayesian structural time series bsts model is a statistical technique used for feature selection, time series forecasting, nowcasting, inferring causal impact and other applications. the model is designed to work with time series data. the model has also promising application in the field of analytical marketing. in particular, it can be used in order to assess how much different marketing campaigns have contributed to the change in web search volumes, product sales, brand popularity and other relevant indicators. difference-in-differences models and interrupted time series designs are alternatives to this approach. ""in contrast to classical difference-in-differences schemes, state-space models make it possible to i infer the temporal evolution of attributable impact, ii incorporate empirical priors on the parameters in a fully bayesian treatment, and iii flexibly accommodate multiple sources of variation, including the time-varying influence of contemporaneous covariates, i.e., synthetic controls."""
biasvariance tradeoff,"in statistics and machine learning, the biasvariance tradeoff describes the relationship between a model's complexity, the accuracy of its predictions, and how well it can make predictions on previously unseen data that were not used to train the model. in general, as we increase the number of tunable parameters in a model, it becomes more flexible, and can better fit a training data set. it is said to have lower error, or bias. however, for more flexible models, there will tend to be greater variance to the model fit each time we take a set of samples to create a new training data set. it is said that there is greater variance in the model's estimated parameters. the biasvariance dilemma or biasvariance problem is the conflict in trying to simultaneously minimize these two sources of error that prevent supervised learning algorithms from generalizing beyond their training set the bias error is an error from erroneous assumptions in the learning algorithm. high bias can cause an algorithm to miss the relevant relations between features and target outputs underfitting. the variance is an error from sensitivity to small fluctuations in the training set. high variance may result from an algorithm modeling the random noise in the training data overfitting. the biasvariance decomposition is a way of analyzing a learning algorithm's expected generalization error with respect to a particular problem as a sum of three terms, the bias, variance, and a quantity called the irreducible error, resulting from noise in the problem itself."
binary classification,"binary classification is the task of classifying the elements of a set into one of two groups each called class. typical binary classification problems include medical testing to determine if a patient has a certain disease or not quality control in industry, deciding whether a specification has been met in information retrieval, deciding whether a page should be in the result set of a search or not in administration, deciding whether someone should be issued with a driving licence or not in cognition, deciding whether an object is food or not food. when measuring the accuracy of a binary classifier, the simplest way is to count the errors. but in the real world often one of the two classes is more important, so that the number of both of the different types of errors is of interest. for example, in medical testing, detecting a disease when it is not present a false positive is considered differently from not detecting a disease when it is present a false negative."
bioserenity,"bioserenity is a medtech company created in 2014 that develops ambulatory medical devices to help diagnose and monitor patients with chronic diseases such as epilepsy. the medical devices are composed of medical sensors, smart clothing, a smartphone app for patient reported outcome, and a web platform to perform data analysis through medical artificial intelligence for detection of digital biomarkers. the company initially focused on neurology, a domain in which it reported contributing to the diagnosis of 30 000 patients per year. it now also operates in sleep disorders and cardiology. bioserenity reported it provides pharmaceutical companies with solutions for companion diagnostics."
bradleyterry model,"the bradleyterry model is a probability model for the outcome of pairwise comparisons between items, teams, or objects. given a pair of items i and j drawn from some population, it estimates the probability that the pairwise comparison i j turns out true, as where pi is a positive real-valued score assigned to individual i. the comparison i j can be read as ""i is preferred to j"", ""i ranks higher than j"", or ""i beats j"", depending on the application. for example, pi might represent the skill of a team in a sports tournament and pr i j displaystyle prij the probability that i wins a game against j. or pi might represent the quality or desirability of a commercial product and pr i j displaystyle prij the probability that a consumer will prefer product i over product j. the bradleyterry model can be used in the forward direction to predict outcomes, as described, but is more commonly used in reverse to infer the scores pi given an observed set of outcomes. in this type of application pi represents some measure of the strength or quality of i displaystyle i and the model lets us estimate the strengths from a series of pairwise comparisons. in a survey of wine preferences, for instance, it might be difficult for respondents to give a complete ranking of a large set of wines, but relatively easy for them to compare sample pairs of wines and say which they feel is better. based on a set of such pairwise comparisons, the bradleyterry model can then be used to derive a full ranking of the wines. once the values of the scores pi have been calculated, the model can then also be used in the forward direction, for instance to predict the likely outcome of comparisons that have not yet actually occurred. in the wine survey example, for instance, one could calculate the probability that someone will prefer wine i displaystyle i over wine j displaystyle j , even if no one in the survey directly compared that particular pair."
category utility,"category utility is a measure of ""category goodness"" defined in gluck corter 1985 and corter gluck 1992. it attempts to maximize both the probability that two objects in the same category have attribute values in common, and the probability that objects from different categories have different attribute values. it was intended to supersede more limited measures of category goodness such as ""cue validity"" reed 1972 rosch mervis 1975 and ""collocation index"" jones 1983. it provides a normative information-theoretic measure of the predictive advantage gained by the observer who possesses knowledge of the given category structure i.e., the class labels of instances over the observer who does not possess knowledge of the category structure. in this sense the motivation for the category utility measure is similar to the information gain metric used in decision tree learning. in certain presentations, it is also formally equivalent to the mutual information, as discussed below. a review of category utility in its probabilistic incarnation, with applications to machine learning, is provided in witten frank 2005, pp. 260262."
ciml community portal,"the computational intelligence and machine learning ciml community portal is an international multi-university initiative. its primary purpose is to help facilitate a virtual scientific community infrastructure for all those involved with, or interested in, computational intelligence and machine learning. this includes ciml research-, education, and application-oriented resources residing at the portal and others that are linked from the ciml site."
claude language model,"claude is a family of large language models developed by anthropic. the first model was released in march 2023. the claude 3 family, released in march 2024, consists of three models haiku, optimized for speed sonnet, which balances capability and performance and opus, designed for complex reasoning tasks. these models can process both text and images, with claude 3 opus demonstrating enhanced capabilities in areas like mathematics, programming, and logical reasoning compared to previous versions."
cognitive robotics,"cognitive robotics or cognitive technology is a subfield of robotics concerned with endowing a robot with intelligent behavior by providing it with a processing architecture that will allow it to learn and reason about how to behave in response to complex goals in a complex world. cognitive robotics may be considered the engineering branch of embodied cognitive science and embodied embedded cognition, consisting of robotic process automation, artificial intelligence, machine learning, deep learning, optical character recognition, image processing, process mining, analytics, software development and system integration."
concept drift,"in predictive analytics, data science, machine learning and related fields, concept drift or drift is an evolution of data that invalidates the data model. it happens when the statistical properties of the target variable, which the model is trying to predict, change over time in unforeseen ways. this causes problems because the predictions become less accurate as time passes. drift detection and drift adaptation are of paramount importance in the fields that involve dynamically changing data and data models."
conditional random field,"conditional random fields crfs are a class of statistical modeling methods often applied in pattern recognition and machine learning and used for structured prediction. whereas a classifier predicts a label for a single sample without considering ""neighbouring"" samples, a crf can take context into account. to do so, the predictions are modelled as a graphical model, which represents the presence of dependencies between the predictions. the kind of graph used depends on the application. for example, in natural language processing, ""linear chain"" crfs are popular, for which each prediction is dependent only on its immediate neighbours. in image processing, the graph typically connects locations to nearby andor similar locations to enforce that they receive similar predictions. other examples where crfs are used are labeling or parsing of sequential data for natural language processing or biological sequences, part-of-speech tagging, shallow parsing, named entity recognition, gene finding, peptide critical functional region finding, and object recognition and image segmentation in computer vision."
confusion matrix,"in the field of machine learning and specifically the problem of statistical classification, a confusion matrix, also known as error matrix, is a specific table layout that allows visualization of the performance of an algorithm, typically a supervised learning one in unsupervised learning it is usually called a matching matrix. each row of the matrix represents the instances in an actual class while each column represents the instances in a predicted class, or vice versa both variants are found in the literature. the diagonal of the matrix therefore represents all instances that are correctly predicted. the name stems from the fact that it makes it easy to see whether the system is confusing two classes i.e. commonly mislabeling one as another. it is a special kind of contingency table, with two dimensions ""actual"" and ""predicted"", and identical sets of ""classes"" in both dimensions each combination of dimension and class is a variable in the contingency table."
contrastive language-image pre-training,"contrastive language-image pre-training clip is a technique for training a pair of neural network models, one for image understanding and one for text understanding, using a contrastive objective. this method has enabled broad applications across multiple domains, including cross-modal retrieval, text-to-image generation, aesthetic ranking, and image captioning."
cost-sensitive machine learning,"cost-sensitive machine learning is an approach within machine learning that considers varying costs associated with different types of errors. this method diverges from traditional approaches by introducing a cost matrix, explicitly specifying the penalties or benefits for each type of prediction error. the inherent difficulty which cost-sensitive machine learning tackles is that minimizing different kinds of classification errors is a multi-objective optimization problem."
coupled pattern learner,coupled pattern learner cpl is a machine learning algorithm which couples the semi-supervised learning of categories and relations to forestall the problem of semantic drift associated with boot-strap learning methods.
cross-entropy method,"the cross-entropy ce method is a monte carlo method for importance sampling and optimization. it is applicable to both combinatorial and continuous problems, with either a static or noisy objective. the method approximates the optimal importance sampling estimator by repeating two phases draw a sample from a probability distribution. minimize the cross-entropy between this distribution and a target distribution to produce a better sample in the next iteration. reuven rubinstein developed the method in the context of rare-event simulation, where tiny probabilities must be estimated, for example in network reliability analysis, queueing models, or performance analysis of telecommunication systems. the method has also been applied to the traveling salesman, quadratic assignment, dna sequence alignment, max-cut and buffer allocation problems."
cross-validation statistics,"cross-validation, sometimes called rotation estimation or out-of-sample testing, is any of various similar model validation techniques for assessing how the results of a statistical analysis will generalize to an independent data set. cross-validation includes resampling and sample splitting methods that use different portions of the data to test and train a model on different iterations. it is often used in settings where the goal is prediction, and one wants to estimate how accurately a predictive model will perform in practice. it can also be used to assess the quality of a fitted model and the stability of its parameters. in a prediction problem, a model is usually given a dataset of known data on which training is run training dataset, and a dataset of unknown data or first seen data against which the model is tested called the validation dataset or testing set. the goal of cross-validation is to test the model's ability to predict new data that was not used in estimating it, in order to flag problems like overfitting or selection bias and to give an insight on how the model will generalize to an independent dataset i.e., an unknown dataset, for instance from a real problem. one round of cross-validation involves partitioning a sample of data into complementary subsets, performing the analysis on one subset called the training set, and validating the analysis on the other subset called the validation set or testing set. to reduce variability, in most methods multiple rounds of cross-validation are performed using different partitions, and the validation results are combined e.g. averaged over the rounds to give an estimate of the model's predictive performance. in summary, cross-validation combines averages measures of fitness in prediction to derive a more accurate estimate of model prediction performance."
curse of dimensionality,"the curse of dimensionality refers to various phenomena that arise when analyzing and organizing data in high-dimensional spaces that do not occur in low-dimensional settings such as the three-dimensional physical space of everyday experience. the expression was coined by richard e. bellman when considering problems in dynamic programming. the curse generally refers to issues that arise when the number of datapoints is small in a suitably defined sense relative to the intrinsic dimension of the data. dimensionally cursed phenomena occur in domains such as numerical analysis, sampling, combinatorics, machine learning, data mining and databases. the common theme of these problems is that when the dimensionality increases, the volume of the space increases so fast that the available data become sparse. in order to obtain a reliable result, the amount of data needed often grows exponentially with the dimensionality. also, organizing and searching data often relies on detecting areas where objects form groups with similar properties in high dimensional data, however, all objects appear to be sparse and dissimilar in many ways, which prevents common data organization strategies from being efficient."
computer vision,"computer vision tasks include methods for acquiring, processing, analyzing, and understanding digital images, and extraction of high-dimensional data from the real world in order to produce numerical or symbolic information, e.g. in the form of decisions. ""understanding"" in this context signifies the transformation of visual images the input to the retina into descriptions of the world that make sense to thought processes and can elicit appropriate action. this image understanding can be seen as the disentangling of symbolic information from image data using models constructed with the aid of geometry, physics, statistics, and learning theory. the scientific discipline of computer vision is concerned with the theory behind artificial systems that extract information from images. image data can take many forms, such as video sequences, views from multiple cameras, multi-dimensional data from a 3d scanner, 3d point clouds from lidar sensors, or medical scanning devices. the technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems. subdisciplines of computer vision include scene reconstruction, object detection, event detection, activity recognition, video tracking, object recognition, 3d pose estimation, learning, indexing, motion estimation, visual servoing, 3d scene modeling, and image restoration."
outline of computer vision,"the following outline is provided as an overview of and topical guide to computer vision computer vision interdisciplinary field that deals with how computers can be made to gain high-level understanding from digital images or videos. from the perspective of engineering, it seeks to automate tasks that the human visual system can do. computer vision tasks include methods for acquiring digital images through image sensors, image processing, and image analysis, to reach an understanding of digital images. in general, it deals with the extraction of high-dimensional data from the real world in order to produce numerical or symbolic information that the computer can interpret. the image data can take many forms, such as video sequences, views from multiple cameras, or multi-dimensional data from a medical scanner. as a technological discipline, computer vision seeks to apply its theories and models for the construction of computer vision systems. as a scientific discipline, computer vision is concerned with the theory behind artificial systems that extract information from images."
spatial verification,"spatial verification is a technique in which similar locations can be identified in an automated way through a sequence of images. the general method involves identifying a correlation between certain points among sets images, using techniques similar to those used for image registration. the main problem is that outliers that does not fit or does not match the selected model affect adjustment called least squares numerical analysis technique framed in mathematical optimization, which, given an set of ordered pairs independent variable, dependent variable, and a family of functions, try to find the continuous function."
3d body scanning,"3d body scanning is an application of various technologies such as structured-light 3d scanner, 3d depth sensing, stereoscopic vision and others for ergonomic and anthropometric investigation of the human form as a point-cloud. the technology and practice within research has found 3d body scanning measurement extraction methodologies to be comparable to traditional anthropometric measurement techniques."
3d morphable model,"in computer vision and computer graphics, the 3d morphable model 3dmm is a generative technique that uses methods of statistical shape analysis to model 3d objects. the model follows an analysis-by-synthesis approach over a dataset of 3d example shapes of a single class of objects e.g., face, hand. the main prerequisite is that all the 3d shapes are in a dense point-to-point correspondence, namely each point has the same semantical meaning over all the shapes. in this way, we can extract meaningful statistics from the dataset and use it to represent new plausible shapes of the object's class. given a 2d image, we can represent its 3d shape via a fitting process or generate novel shapes by directly sampling from the statistical shape distribution of that class. the question that initiated the research on 3dmms was to understand how a visual system could handle the vast variety of images produced by a single class of objects and how these can be represented. the primary assumption in developing 3dmms was that prior knowledge about object classes was crucial in vision. 3d face morphable models are the most popular 3dmms since they were the first to be developed in the field of facial recognition. it has also been applied to the whole human body, the hand, the ear, cars, and animals."
3d pose estimation,"3d pose estimation is a process of predicting the transformation of an object from a user-defined reference pose, given an image or a 3d scan. it arises in computer vision or robotics where the pose or transformation of an object can be used for alignment of a computer-aided design models, identification, grasping, or manipulation of the object. the image data from which the pose of an object is determined can be either a single image, a stereo image pair, or an image sequence where, typically, the camera is moving with a known velocity. the objects which are considered can be rather general, including a living being or body parts, e.g., a head or hands. the methods which are used for determining the pose of an object, however, are usually specific for a class of objects and cannot generally be expected to work well for other types of objects."
3d reconstruction,"in computer vision and computer graphics, 3d reconstruction is the process of capturing the shape and appearance of real objects. this process can be accomplished either by active or passive methods. if the model is allowed to change its shape in time, this is referred to as non-rigid or spatio-temporal reconstruction."
3d reconstruction from multiple images,"3d reconstruction from multiple images is the creation of three-dimensional models from a set of images. it is the reverse process of obtaining 2d images from 3d scenes. the essence of an image is a projection from a 3d scene onto a 2d plane, during which process the depth is lost. the 3d point corresponding to a specific image point is constrained to be on the line of sight. from a single image, it is impossible to determine which point on this line corresponds to the image point. if two images are available, then the position of a 3d point can be found as the intersection of the two projection rays. this process is referred to as triangulation. the key for this process is the relations between multiple views which convey the information that corresponding sets of points must contain some structure and that this structure is related to the poses and the calibration of the camera. in recent decades, there is an important demand for 3d content for computer graphics, virtual reality and communication, triggering a change in emphasis for the requirements. many existing systems for constructing 3d models are built around specialized hardware e.g. stereo rigs resulting in a high cost, which cannot satisfy the requirement of its new applications. this gap stimulates the use of digital imaging facilities like a camera. an early method was proposed by tomasi and kanade. they used an affine factorization approach to extract 3d from images sequences. however, the assumption of orthographic projection is a significant limitation of this system."
3d scanning,"3d scanning is the process of analyzing a real-world object or environment to collect three dimensional data of its shape and possibly its appearance e.g. color. the collected data can then be used to construct digital 3d models. a 3d scanner can be based on many different technologies, each with its own limitations, advantages and costs. many limitations in the kind of objects that can be digitised are still present. for example, optical technology may encounter many difficulties with dark, shiny, reflective or transparent objects. for example, industrial computed tomography scanning, structured-light 3d scanners, lidar and time of flight 3d scanners can be used to construct digital 3d models, without destructive testing. collected 3d data is useful for a wide variety of applications. these devices are used extensively by the entertainment industry in the production of movies and video games, including virtual reality. other common applications of this technology include augmented reality, motion capture, gesture recognition, robotic mapping, industrial design, orthotics and prosthetics, reverse engineering and prototyping, quality controlinspection and the digitization of cultural artifacts."
3d selfie,"a 3d selfie is a 3d-printed scale replica of a person or their face. these three-dimensional selfies are also known as 3d portraits, 3d figurines, 3d-printed figurines, mini-me figurines and miniature statues. in 2014 a first 3d printed bust of a president, barack obama, was made. 3d-digital-imaging specialists used handheld 3d scanners to create an accurate representation of the president."
active appearance model,"an active appearance model aam is a computer vision algorithm for matching a statistical model of object shape and appearance to a new image. they are built during a training phase. a set of images, together with coordinates of landmarks that appear in all of the images, is provided to the training supervisor. the model was first introduced by edwards, cootes and taylor in the context of face analysis at the 3rd international conference on face and gesture recognition, 1998. cootes, edwards and taylor further described the approach as a general method in computer vision at the european conference on computer vision in the same year. the approach is widely used for matching and tracking faces and for medical image interpretation. the algorithm uses the difference between the current estimate of appearance and the target image to drive an optimization process. by taking advantage of the least squares techniques, it can match to new images very swiftly. it is related to the active shape model asm. one disadvantage of asm is that it only uses shape constraints together with some information about the image structure near the landmarks, and does not take advantage of all the available information the texture across the target object. this can be modelled using an aam."
active contour model,"active contour model, also called snakes, is a framework in computer vision introduced by michael kass, andrew witkin, and demetri terzopoulos for delineating an object outline from a possibly noisy 2d image. the snakes model is popular in computer vision, and snakes are widely used in applications like object tracking, shape recognition, segmentation, edge detection and stereo matching. a snake is an energy minimizing, deformable spline influenced by constraint and image forces that pull it towards object contours and internal forces that resist deformation. snakes may be understood as a special case of the general technique of matching a deformable model to an image by means of energy minimization. in two dimensions, the active shape model represents a discrete version of this approach, taking advantage of the point distribution model to restrict the shape range to an explicit domain learnt from a training set. snakes do not solve the entire problem of finding contours in images, since the method requires knowledge of the desired contour shape beforehand. rather, they depend on other mechanisms such as interaction with a user, interaction with some higher level image understanding process, or information from image data adjacent in time or space."
active shape model,"active shape models asms are statistical models of the shape of objects which iteratively deform to fit to an example of the object in a new image, developed by tim cootes and chris taylor in 1995. the shapes are constrained by the pdm point distribution model statistical shape model to vary only in ways seen in a training set of labelled examples. the shape of an object is represented by a set of points controlled by the shape model. the asm algorithm aims to match the model to a new image. the asm works by alternating the following steps generate a suggested shape by looking in the image around each point for a better position for the point. this is commonly done using what is called a ""profile model"", which looks for strong edges or uses the mahalanobis distance to match a model template for the point. conform the suggested shape to the point distribution model, commonly called a ""shape model"" in this context. the figure to the right shows an example. the technique has been widely used to analyse images of faces, mechanical assemblies and medical images in 2d and 3d. it is closely related to the active appearance model. it is also known as a ""smart snakes"" method, since it is an analog to an active contour model which would respect explicit shape constraints."
